,name,id,align,eye,hair,sex,gsm,appearances,first_appearance,year,publisher
7534,Mik (Moloid) (Earth-616),Secret Identity,Good,,No,Male,,60.0,2010-03-01,2010.0,marvel
7535,Kro (Earth-616),Secret Identity,Bad,Red,Bald,Male,,59.0,1940-08-01,1940.0,marvel
7536,Toni Turner (Earth-616),Public Identity,,Black,Black,Female,,59.0,1962-01-01,1962.0,marvel
7537,Melvin Potter (Earth-616),Public Identity,,Blue,Bald,Male,,59.0,1966-07-01,1966.0,marvel
7538,Billy Russo (Earth-616),Secret Identity,Bad,Blue,Black,Male,,59.0,1976-10-01,1976.0,marvel
7539,Anath-Na Mut (Earth-616),Secret Identity,Bad,Red,Bald,Male,,59.0,1977-02-01,1977.0,marvel
7540,Gilgamesh (Earth-616),Secret Identity,Good,Blue,Black,Male,,59.0,1977-07-01,1977.0,marvel
7541,Rebecca Blake (Earth-616),Public Identity,Neutral,,Auburn,Female,,59.0,1978-11-01,1978.0,marvel
7542,Biotron (Earth-616),No Dual Identity,Good,,,Male,,59.0,1979-01-01,1979.0,marvel
7543,Ruth Bat-Seraph (Earth-616),Secret Identity,Good,Brown,Black,Female,,59.0,1980-08-01,1980.0,marvel
7544,Sofia Mantega (Earth-616),Secret Identity,Good,Brown,Brown,Female,,59.0,2003-07-01,2003.0,marvel
7545,Nezhno Abidemi (Earth-616),Secret Identity,Good,Blue,Bald,Male,,59.0,2006-04-01,2006.0,marvel
7546,Thomas Shepherd (Earth-616),Secret Identity,Good,Green,White,Male,,59.0,2006-03-01,2006.0,marvel
7547,Ken Mack (Earth-616),Secret Identity,Good,Brown,Black,Male,,59.0,2010-08-01,2010.0,marvel
7548,Turg (Moloid) (Earth-616),Secret Identity,Good,,No,Male,,59.0,2010-03-01,2010.0,marvel
7549,Ivan Petrovitch (Earth-616),Public Identity,,Brown,Brown,Male,,58.0,1970-08-01,1970.0,marvel
7550,Robert Diamond (Earth-616),No Dual Identity,Good,Blue,Blond,Male,,58.0,1974-04-01,1974.0,marvel
7551,Debra Whitman (Earth-616),No Dual Identity,,Green,Blond,Female,,58.0,1979-09-01,1979.0,marvel
7552,Cassandra Webb (Earth-616),Public Identity,Good,Grey,Black,Female,,58.0,1980-11-01,1980.0,marvel
7553,Claudette and Nicole St. Croix (Earth-616),Secret Identity,Good,Brown,Black,Female,,58.0,1994-09-01,1994.0,marvel
7554,Greg Willis (Earth-616),Secret Identity,Good,Blue,Brown,Male,,58.0,2005-08-01,2005.0,marvel
7555,Korr (Moloid) (Earth-616),Secret Identity,Good,,No,,,58.0,2010-03-01,2010.0,marvel
7556,Daniel Brito (Earth-616),Public Identity,Bad,Brown,Black,Male,,57.0,1964-03-01,1964.0,marvel
7557,Jackson Brice (Earth-616),Public Identity,Bad,Brown,Brown,Male,,57.0,1964-03-01,1964.0,marvel
7558,Quincy Harker (Earth-616),No Dual Identity,Good,Blue,White,Male,,57.0,1973-03-01,1973.0,marvel
7559,Duvid Fortunov (Earth-616),Public Identity,Good,Blue,Brown,Male,,57.0,1975-08-01,1975.0,marvel
7560,Philippa Sontag (Earth-616),Secret Identity,Bad,Violet,Black,Female,,57.0,1986-10-01,1986.0,marvel
7561,Laurie Tromette (Earth-616),Secret Identity,Good,Blue,Brown,Female,,57.0,2010-09-01,2010.0,marvel
7562,Max Modell (Earth-616),Public Identity,Good,Blue,Red,Male,Homosexual,57.0,2011-01-01,2011.0,marvel
7563,Arthur Pendragon (Earth-616),No Dual Identity,Good,Blue,Brown,Male,,56.0,1944-03-01,1944.0,marvel
7564,Hera Argeia (Earth-616),Secret Identity,Bad,Blue,Blond,Female,,56.0,1949-04-01,1949.0,marvel
7565,Johann Fennhoff (Earth-616),Public Identity,Bad,Blue,Red,Male,,56.0,1968-11-01,1968.0,marvel
7566,Mesmero (Vincent) (Earth-616),Secret Identity,Neutral,Green,Brown,Male,,56.0,1968-10-01,1968.0,marvel
7567,Martha Robertson (Earth-616),No Dual Identity,Good,,Black,Female,,56.0,1969-01-01,1969.0,marvel
7568,James Braddock Jr. (Earth-616),No Dual Identity,Neutral,Blue,Black,Male,,56.0,1976-12-01,1976.0,marvel
7569,Ayesha (Earth-616),Secret Identity,,White,Blond,Female,,56.0,1977-11-01,1977.0,marvel
7570,Nebula (Earth-616),Secret Identity,Bad,Blue,Bald,Female,,56.0,1985-07-01,1985.0,marvel
7571,Blackout (Lilin) (Earth-616),Secret Identity,Bad,Red,White,Male,,56.0,1990-06-01,1990.0,marvel
7572,Garrison Kane (Earth-616),Secret Identity,Bad,Blue,Black,Male,,56.0,1991-09-01,1991.0,marvel
7573,Phyla-Vell (Earth-616),Public Identity,Good,Blue,White,Female,Homosexual,56.0,2004-01-01,2004.0,marvel
7574,Vil (Earth-616),Secret Identity,Neutral,,No,Female,,56.0,2010-04-01,2010.0,marvel
7575,Eliot Franklin (Clown) (Earth-616),Public Identity,,Brown,Brown,Male,,55.0,1962-09-01,1962.0,marvel
7576,Psycho-Man (Earth-616),Secret Identity,Bad,Yellow,,Male,,55.0,1967-11-01,1967.0,marvel
7577,Humanoid Experimental Robot B-Type Integrated Electronics (Earth-616),Secret Identity,Good,Yellow,No,Male,,55.0,1979-08-01,1979.0,marvel
7578,Cleo Nefertiti (Earth-616),Secret Identity,Neutral,Brown,Black,Female,,55.0,1985-09-01,1985.0,marvel
7579,Fen (Earth-616),No Dual Identity,Good,Green,Auburn,Female,,55.0,,,marvel
7580,Martha Connors (Earth-616),Public Identity,,Blue,Red,Female,,54.0,1963-11-01,1963.0,marvel
7581,Stan Lee (Earth-616),No Dual Identity,Good,Brown,Black,Male,,54.0,1963-01-01,1963.0,marvel
7582,Athena Parthenos (Earth-616),No Dual Identity,Neutral,,Black,Female,,54.0,1969-05-01,1969.0,marvel
7583,Hector Ayala (Earth-616),Public Identity,Good,Brown,Black,Male,,54.0,1975-12-01,1975.0,marvel
7584,Blake Tower (Earth-616),No Dual Identity,Good,,Blond,Male,,54.0,1976-01-01,1976.0,marvel
7585,Dimitri Bukharin (Earth-616),Secret Identity,,Brown,Bald,Male,,54.0,1978-04-01,1978.0,marvel
7586,Captain Universe (Earth-616),Secret Identity,Good,Variable,Variable,Agender,,54.0,1979-08-01,1979.0,marvel
7587,Mister Negative (Earth-616),Secret Identity,Bad,Brown,Black,Male,,54.0,2007-06-01,2007.0,marvel
7588,William Lumpkin (Earth-616),Public Identity,Good,Blue,Grey,Male,,53.0,1963-02-01,1963.0,marvel
7589,Ego (Earth-616),No Dual Identity,,,No,Male,,53.0,1966-09-01,1966.0,marvel
7590,Bova Ayrshire (Earth-616),Secret Identity,Good,Brown,Brown,Female,,53.0,1974-08-01,1974.0,marvel
7591,Seth (Earth-616),No Dual Identity,Bad,Brown,Red,Male,,53.0,1975-10-01,1975.0,marvel
7592,Brian Falsworth (Earth-616),Secret Identity,,Brown,Brown,Male,Homosexual,53.0,1977-07-01,1977.0,marvel
7593,Nikolai Krylenko (Earth-616),Secret Identity,Neutral,Blue,Red,Male,,53.0,1978-04-01,1978.0,marvel
7594,Valinor (Earth-616),Public Identity,Neutral,Brown,Black,Male,,53.0,1979-03-01,1979.0,marvel
7595,Ann Darnell (Earth-616),Secret Identity,,Green,Brown,Female,,53.0,1980-12-01,1980.0,marvel
7596,Alexander Pierce (Earth-616),,Good,Brown,Brown,Male,,53.0,1988-08-01,1988.0,marvel
7597,Kayla Ballantine (Earth-616),Public Identity,Good,,Strawberry,Female,,53.0,1989-11-01,1989.0,marvel
7598,Vanessa Carlysle (Earth-616),Secret Identity,Neutral,Red,White,Female,,53.0,1991-02-01,1991.0,marvel
7599,Donyell Taylor (Earth-616),Secret Identity,Good,Brown,Black,Male,,53.0,1993-10-01,1993.0,marvel
7600,Ken Ellis (Earth-616),Public Identity,,Brown,Brown,Male,,53.0,1994-11-01,1994.0,marvel
7601,Teon Macik (Earth-616),Secret Identity,Good,Brown,Brown,Male,,53.0,2010-12-01,2010.0,marvel
7602,Wu (Earth-616),Secret Identity,Neutral,,No,Male,,53.0,2010-04-01,2010.0,marvel
7603,Eva Bell (Earth-616),Public Identity,Good,Blue,Black,Female,,53.0,2013-01-01,2013.0,marvel
7604,Zuras (Earth-616),No Dual Identity,Good,Blue,Red,Male,,52.0,1940-08-01,1940.0,marvel
7605,Kevin Marlow (Earth-616),Secret Identity,,Blue,Blond,Male,,52.0,1941-10-01,1941.0,marvel
7606,Steven Rogers (William Burnside) (Earth-616),Secret Identity,Neutral,Blue,Blond,Male,,52.0,1953-12-01,1953.0,marvel
7607,Space Phantom (Earth-616),,,Black,Brown,Male,,52.0,1963-11-01,1963.0,marvel
7608,Tana Nile (Earth-616),No Dual Identity,Good,Blue,Black,Female,,52.0,1966-06-01,1966.0,marvel
7609,Turk Barrett (Earth-616),Public Identity,Bad,Brown,Black,Male,,52.0,1970-10-01,1970.0,marvel
7610,Xandarian Worldmind (Earth-616),Public Identity,Good,,,,,52.0,1977-04-01,1977.0,marvel
7611,Argon (Microverse) (Earth-616),Public Identity,Neutral,Blue,Blond,Male,,52.0,1979-01-01,1979.0,marvel
7612,Fabian Stankowicz (Earth-616),Public Identity,Good,Blue,Grey,Male,,52.0,1982-03-01,1982.0,marvel
7613,Masque (Morlock) (Earth-616),Secret Identity,,Red,Bald,Male,,52.0,1983-05-01,1983.0,marvel
7614,Manuel de la Rocha (Earth-616),Secret Identity,Bad,Brown,Brown,Male,,52.0,1984-06-01,1984.0,marvel
7615,Kodiak Noatak (Earth-616),Secret Identity,Bad,,Red,Male,,52.0,1986-10-01,1986.0,marvel
7616,Graydon Creed (Earth-616),No Dual Identity,Bad,Blue,Brown,Male,,52.0,1993-01-01,1993.0,marvel
7617,Max Eisenhardt (Joseph) (Earth-616),Secret Identity,Bad,Blue,White,Male,,52.0,1995-12-01,1995.0,marvel
7618,Seward Trainer (Earth-616),No Dual Identity,Bad,Brown,Brown,Male,,52.0,1995-01-01,1995.0,marvel
7619,Tex Dawson (Earth-616),Public Identity,Good,,Black,Male,,51.0,1954-12-01,1954.0,marvel
7620,Gunther Bain (Earth-616),Secret Identity,Bad,Blue,Black,Male,,51.0,1964-11-01,1964.0,marvel
7621,Jeryn Hogarth (Earth-616),Public Identity,Good,,Brown,Male,,51.0,1977-08-01,1977.0,marvel
7622,Robert Farrell (Earth-616),Secret Identity,Neutral,Brown,Black,Male,,51.0,1977-09-01,1977.0,marvel
7623,Maximillian Zaran (Earth-616),No Dual Identity,Bad,Blue,Red,Male,,51.0,1979-06-01,1979.0,marvel
7624,Chons (Earth-616),Public Identity,Neutral,Variable,,Male,,51.0,1980-11-01,1980.0,marvel
7625,Mikhail Ursus (Earth-616),Secret Identity,Good,Brown,Brown,Male,,51.0,1981-04-01,1981.0,marvel
7626,Joshua Guthrie (Earth-616),Secret Identity,Good,Green,Red,Male,,51.0,1984-11-01,1984.0,marvel
7627,Antonio Rodriguez (Earth-616),Secret Identity,Neutral,Brown,No,Male,,51.0,1985-08-01,1985.0,marvel
7628,Jack Hammer (Earth-616),Secret Identity,Neutral,Brown,Black,Male,,51.0,1993-08-01,1993.0,marvel
7629,Neal Shaara (Earth-616),Secret Identity,Good,Brown,Black,Male,,51.0,2000-05-01,2000.0,marvel
7630,"John Jonah Jameson, Sr. (Earth-616)",No Dual Identity,Good,Brown,White,Male,,51.0,2009-01-01,2009.0,marvel
7631,Terry Vance (Earth-616),Public Identity,Good,Blue,Auburn,Male,,50.0,1940-08-01,1940.0,marvel
7632,Aphrodite Ourania (Earth-616),Secret Identity,Good,Blue,Blond,Female,,50.0,1948-08-01,1948.0,marvel
7633,M-11 (Earth-616),Secret Identity,Good,Yellow,No,Male,,50.0,1954-05-01,1954.0,marvel
7634,Sir Percy of Scandia (Earth-616),Public Identity,Good,Blue,Blond,Male,,50.0,1955-05-01,1955.0,marvel
7635,Deborah Harris (Earth-616),Public Identity,Good,,Black,Female,,50.0,1965-10-01,1965.0,marvel
7636,Llyra Morris (Earth-616),No Dual Identity,Bad,Green,Green,Female,,50.0,1970-12-01,1970.0,marvel
7637,Robert Kelly (Earth-616),Public Identity,Neutral,Brown,Brown,Male,,50.0,1980-05-01,1980.0,marvel
7638,Susan Austin (Earth-616),Public Identity,Good,,Strawberry,Female,,50.0,1988-06-01,1988.0,marvel
7639,Amelia Voght (Earth-616),No Dual Identity,Neutral,Green,Red,Female,,50.0,1993-05-01,1993.0,marvel
7640,Marshall Stone III (Earth-616),Secret Identity,Neutral,Black,Black,Male,,50.0,1993-03-01,1993.0,marvel
7641,Alexei Kravinoff (Earth-616),Public Identity,Bad,Brown,Black,Male,,50.0,1997-02-01,1997.0,marvel
7642,Guy Smith (Earth-616),Secret Identity,Good,Purple,White,Male,,50.0,2001-08-01,2001.0,marvel
7643,Tike Alicar (Earth-616),Secret Identity,Good,Brown,Black,Male,,50.0,2001-07-01,2001.0,marvel
7644,Eden Fesi (Earth-616),Secret Identity,Good,Brown,Black,Male,,50.0,2009-07-01,2009.0,marvel
7645,Raymond Dawson (Earth-616),Public Identity,Good,Brown,Black,Male,,49.0,1940-09-01,1940.0,marvel
7646,Henry Tinkelbaum (Earth-616),Secret Identity,Good,,Blond,Male,,49.0,1941-06-01,1941.0,marvel
7647,Cookie Novak (Earth-616),Public Identity,Good,,Black,Male,,49.0,1951-11-01,1951.0,marvel
7648,Hank Kelly (Earth-616),Public Identity,Good,,Red,,,49.0,1951-11-01,1951.0,marvel
7649,Robert Rider (Earth-616),Public Identity,,,Brown,Male,,49.0,1976-09-01,1976.0,marvel
7650,Tania Belinskaya (Earth-616),Secret Identity,Neutral,Blue,Black,Female,,49.0,1976-05-01,1976.0,marvel
7651,William Nasland (Earth-616),Secret Identity,Good,Blue,Black,Male,,49.0,1977-03-01,1977.0,marvel
7652,Roger Bochs (Earth-616),Secret Identity,Good,Blue,Red,Male,,49.0,1983-08-01,1983.0,marvel
7653,Marcus Stone (Earth-616),Public Identity,Good,Brown,Black,Male,,49.0,1989-06-01,1989.0,marvel
7654,Deidre Wentworth (Earth-616),Secret Identity,Bad,Blue,Black,Female,Homosexual,49.0,1991-07-01,1991.0,marvel
7655,Fabian Cortez (Earth-616),Public Identity,Bad,Blue,Brown,Male,,49.0,1991-10-01,1991.0,marvel
7656,Sharra Neramani (Earth-616),Secret Identity,,Yellow,Purple,Female,,49.0,1993-06-01,1993.0,marvel
7657,Rumiko Fujikawa (Earth-616),No Dual Identity,Good,Brown,Black,Female,,49.0,1998-05-01,1998.0,marvel
7658,Gabriel Cohuelo (Earth-616),Public Identity,Good,Brown,Black,Male,,49.0,2010-10-01,2010.0,marvel
7659,Phillip Coulson (Earth-616),No Dual Identity,Good,Blue,Brown,Male,,49.0,2012-01-01,2012.0,marvel
7660,Christopher Muse (Earth-616),Public Identity,Good,Brown,Black,Male,,49.0,2013-01-01,2013.0,marvel
7661,Doctor Watson (Earth-616),Public Identity,Good,,Brown,Male,,48.0,1940-08-01,1940.0,marvel
7662,Abraham Erskine (Earth-616),Secret Identity,,Brown,Black,Male,,48.0,1941-03-01,1941.0,marvel
7663,Umar (Earth-616),Public Identity,Bad,Green,Black,Female,,48.0,1966-11-01,1966.0,marvel
7664,Satannish (Earth-616),Secret Identity,Bad,Multiple,,Male,,48.0,1968-11-01,1968.0,marvel
7665,Sha Shan (Earth-616),Public Identity,Good,Grey,Black,Female,,48.0,1972-05-01,1972.0,marvel
7666,Blood Brothers (Earth-616),,Bad,Red,No,Male,,48.0,1973-02-01,1973.0,marvel
7667,Nekra Sinclair (Earth-616),Secret Identity,Bad,Black,Black,Female,,48.0,1973-08-01,1973.0,marvel
7668,Abraham Brown (Earth-616),Secret Identity,,Brown,Black,Male,,48.0,1974-04-01,1974.0,marvel
7669,Mamie Muggins (Earth-616),Public Identity,,,Grey,Female,,48.0,1974-12-01,1974.0,marvel
7670,In-Betweener (Earth-616),No Dual Identity,Neutral,Black,No,Male,,48.0,1975-10-01,1975.0,marvel
7671,Eric Payne (Earth-616),Secret Identity,Good,Brown,Brown,Male,,48.0,1977-04-01,1977.0,marvel
7672,Mentor (Imperial Guard) (Earth-616),Public Identity,Neutral,White,No,Male,,48.0,1977-10-01,1977.0,marvel
7673,Starbolt (Earth-616),Secret Identity,Neutral,Yellow,No,Male,,48.0,1977-10-01,1977.0,marvel
7674,Manta (Earth-616),Public Identity,Neutral,White,No,Female,,48.0,1980-09-01,1980.0,marvel
7675,Lorelei (Asgardian) (Earth-616),No Dual Identity,Bad,Blue,Red,Female,,48.0,1983-11-01,1983.0,marvel
7676,Grace Powell (Earth-616),Public Identity,Good,,Red,Female,,48.0,1991-03-01,1991.0,marvel
7677,Rick Sheridan (Earth-616),No Dual Identity,Good,Brown,Light,Male,,48.0,1991-06-01,1991.0,marvel
7678,Frances Barrison (Earth-616),Public Identity,Bad,Blue,Blue,Female,,48.0,1993-05-01,1993.0,marvel
7679,Shirley Washington (Earth-616),Public Identity,,Brown,Black,Female,,48.0,1996-01-01,1996.0,marvel
7680,Tsu-Zana (Earth-616),Secret Identity,Good,Blue,Blond,Female,,48.0,1996-11-01,1996.0,marvel
7681,Richard Gilmore (Earth-616),Public Identity,Good,Blue,Black,Male,,48.0,1998-09-01,1998.0,marvel
7682,Tarene (Earth-616),Secret Identity,Good,Blue,Blond,Female,,48.0,2000-04-01,2000.0,marvel
7683,Melati Kusuma (Earth-616),Secret Identity,Good,Brown,Black,Female,,48.0,2007-05-01,2007.0,marvel
7684,Jonas Graymalkin (Earth-616),No Dual Identity,Good,White,No,Male,Homosexual,48.0,2008-06-01,2008.0,marvel
7685,Thakorr (Earth-616),No Dual Identity,Bad,,No,Male,,48.0,,,marvel
7686,Ulysses Bloodstone (Earth-616),Secret Identity,Neutral,Blue,Blond,Male,,47.0,1960-02-01,1960.0,marvel
7687,Jack Pulver (Earth-616),Secret Identity,,Blue,Brown,Male,,47.0,1962-09-01,1962.0,marvel
7688,Maxwell Markham (Earth-616),Public Identity,Neutral,Blue,Blond,Male,,47.0,1974-12-01,1974.0,marvel
7689,Baron Karza (Earth-616),No Dual Identity,Bad,Red,Black,Male,,47.0,1979-01-01,1979.0,marvel
7690,Lindsay McCabe (Earth-616),Public Identity,Good,Blue,Blond,Female,,47.0,1979-05-01,1979.0,marvel
7691,Colin Hume (Earth-616),Secret Identity,Good,Brown,Black,Male,,47.0,1990-08-01,1990.0,marvel
7692,Jason Powell (Earth-616),,Neutral,,,Male,,47.0,1991-03-01,1991.0,marvel
7693,Martha Johansson (Earth-616),Secret Identity,Good,,No,Female,,47.0,2001-11-01,2001.0,marvel
7694,Regan Wyngarde (Earth-616),Secret Identity,Bad,Blue,Blond,Female,,47.0,2001-12-01,2001.0,marvel
7695,Michael Pointer (Earth-616),Secret Identity,Good,Blue,Blond,Male,,47.0,2006-04-01,2006.0,marvel
7696,Jerry Sledge (Earth-616),Secret Identity,Good,Brown,Bald,Male,,47.0,2008-07-01,2008.0,marvel
7697,John Grey (Earth-616),Public Identity,Good,,Grey,Male,,46.0,1964-05-01,1964.0,marvel
7698,Jonathan Murdock (Earth-616),No Dual Identity,Good,,,Male,,46.0,1964-04-01,1964.0,marvel
7699,Nicholas Bromwell (Earth-616),Public Identity,Good,Blue,Grey,Male,,46.0,1964-02-01,1964.0,marvel
7700,Edgar Plunder (Earth-616),Secret Identity,Bad,Black,Grey,Male,,46.0,1966-01-01,1966.0,marvel
7701,Vanessa Fisk (Earth-616),No Dual Identity,Neutral,Blue,Black,Female,,46.0,1969-03-01,1969.0,marvel
7702,Lissa Russell (Earth-616),Public Identity,Good,Blue,Brown,Female,,46.0,1972-02-01,1972.0,marvel
7703,Wundarr (Earth-616),Public Identity,Good,Brown,Brown,Male,,46.0,1973-10-01,1973.0,marvel
7704,Bertrand Crawley (Earth-616),No Dual Identity,,,White,Male,,46.0,1976-06-01,1976.0,marvel
7705,Beverly Switzler (Earth-616),No Dual Identity,Good,,Red,Female,,46.0,1976-01-01,1976.0,marvel
7706,Stephanie Hunter (Earth-616),Public Identity,Good,Black,Black,Female,,46.0,1980-11-01,1980.0,marvel
7707,Rachel Carpenter (Earth-616),Public Identity,Good,Brown,Blond,Female,,46.0,1987-01-01,1987.0,marvel
7708,Francis Ketch (Earth-616),Public Identity,Good,,Brown,Female,,46.0,1990-05-01,1990.0,marvel
7709,Jonathan Powell (Earth-616),,Neutral,,,Male,,46.0,1991-03-01,1991.0,marvel
7710,Cerise (Earth-616),Secret Identity,Good,Violet,Black,Female,,46.0,1992-01-01,1992.0,marvel
7711,Jake Olson (Duplicate) (Earth-616),No Dual Identity,Good,,Blond,Male,,46.0,1998-08-01,1998.0,marvel
7712,Myles Alfred (Earth-616),Secret Identity,Good,Brown,Brown,Male,Homosexual,46.0,2001-08-01,2001.0,marvel
7713,Gertrude Yorkes (Earth-616),Secret Identity,Good,Green,Black,Female,,46.0,2003-07-01,2003.0,marvel
7714,Alexander Aaron (Earth-616),Secret Identity,Good,Blue,Blond,Male,,46.0,2006-03-01,2006.0,marvel
7715,Kubark (Earth-616),Public Identity,Good,Red,Red,Male,,46.0,2011-12-01,2011.0,marvel
7716,Elihas Starr (Earth-616),Public Identity,Bad,Blue,Bald,Male,,45.0,1962-12-01,1962.0,marvel
7717,James Wilson (Earth-616),No Dual Identity,Good,Brown,Black,Male,,45.0,1970-09-01,1970.0,marvel
7718,Claire Temple (Earth-616),No Dual Identity,Good,Brown,Black,Female,,45.0,1972-08-01,1972.0,marvel
7719,Eon (Earth-616),Secret Identity,,Red,Brown,,,45.0,1973-09-01,1973.0,marvel
7720,Stuart Clarke (Earth-616),Public Identity,Bad,Blue,Black,Male,,45.0,1976-04-01,1976.0,marvel
7721,Malekith (Earth-616),No Dual Identity,Bad,Blue,Blond,Male,,45.0,1984-06-01,1984.0,marvel
7722,Oswald Silkworth (Earth-616),Secret Identity,Bad,Brown,Bald,Male,,45.0,1984-02-01,1984.0,marvel
7723,Jesse Aaronson (Earth-616),Secret Identity,Good,Brown,Black,Male,,45.0,1998-10-01,1998.0,marvel
7724,Miranda Leevald (Earth-616),Public Identity,Neutral,Green,Black,Female,Bisexual,45.0,2001-12-01,2001.0,marvel
7725,Angela del Toro (Earth-616),Secret Identity,Neutral,Brown,Brown,Female,,45.0,2003-02-01,2003.0,marvel
7726,Laurie Collins (Earth-616),Secret Identity,Good,Blue,Blond,Female,,45.0,2003-08-01,2003.0,marvel
7727,Gabriel Summers (Earth-616),Public Identity,Bad,Blue,Brown,Male,,45.0,2006-01-01,2006.0,marvel
7728,Miek (Earth-616),No Dual Identity,Bad,Yellow,No,Male,,45.0,2006-04-01,2006.0,marvel
7729,Joseph Green (Earth-616),Public Identity,Good,Brown,Bald,Male,,45.0,2007-05-01,2007.0,marvel
7730,Maki Matsumoto (Earth-616),Secret Identity,Bad,Brown,Black,Female,,45.0,2008-11-01,2008.0,marvel
7731,Mark Todd (Earth-616),Secret Identity,Good,Brown,Bald,Male,,44.0,1941-03-01,1941.0,marvel
7732,Robert Baxter (Earth-616),Secret Identity,Bad,Blue,Black,Male,,44.0,1944-11-01,1944.0,marvel
7733,Mordred (Earth-616),Public Identity,Bad,Blue,Black,Male,,44.0,1955-05-01,1955.0,marvel
7734,Alexander Gentry (Earth-616),Public Identity,Neutral,Blue,Grey,Male,,44.0,1963-10-01,1963.0,marvel
7735,Idunn (Earth-616),Public Identity,Good,Blue,Blond,Female,,44.0,1965-03-01,1965.0,marvel
7736,Ahmet Abdol (Earth-616),Public Identity,Bad,Red,Bald,Male,,44.0,1969-03-01,1969.0,marvel
7737,Jackson Norriss (Earth-616),Public Identity,Good,Blue,Brown,Male,,44.0,1970-04-01,1970.0,marvel
7738,Rafael Scarfe (Earth-616),Public Identity,,,Brown,Male,,44.0,1975-08-01,1975.0,marvel
7739,Arishem (Earth-616),No Dual Identity,Neutral,,No,Male,,44.0,1976-08-01,1976.0,marvel
7740,John Falsworth (Earth-616),Secret Identity,Bad,Blue,Black,Male,,44.0,1976-07-01,1976.0,marvel
7741,Eshu (Earth-616),Secret Identity,Bad,Green,Black,Male,,44.0,1983-09-01,1983.0,marvel
7742,Erg (Earth-616),Secret Identity,Neutral,One,Black,Male,,44.0,1985-07-01,1985.0,marvel
7743,James Bourne (Earth-616),Public Identity,Neutral,Brown,,Male,,44.0,1986-10-01,1986.0,marvel
7744,Abraham Zimmer (Earth-616),,Good,Blue,White,Male,,44.0,1987-06-01,1987.0,marvel
7745,Laura Dean (Earth-616),Secret Identity,Good,Brown,Black,Female,,44.0,1987-07-01,1987.0,marvel
7746,Whitman Knapp (Earth-616),Secret Identity,,,Strawberry,Male,,44.0,1987-02-01,1987.0,marvel
7747,Christopher Bradley (Earth-616),Secret Identity,Good,Blue,Brown,Male,,44.0,1995-10-01,1995.0,marvel
7748,Blind Al (Althea) (Earth-616),Secret Identity,Good,,White,Female,,44.0,1997-01-01,1997.0,marvel
7749,Void (Dark Sentry) (Earth-616),Secret Identity,Bad,Orange,Black,Male,,44.0,2000-09-01,2000.0,marvel
7750,Brightwind (Earth-616),,,Red,Black,Male,,44.0,,,marvel
7751,Red Raven (Liberty Legion) (Earth-616),Secret Identity,Good,Blue,Red,Male,,43.0,1940-08-01,1940.0,marvel
7752,Roger Aubrey (Earth-616),Secret Identity,,Blue,Blond,Male,Homosexual,43.0,1943-03-01,1943.0,marvel
7753,Elaine Grey (Earth-616),Public Identity,Good,Blue,Grey,Female,,43.0,1964-05-01,1964.0,marvel
7754,Milos Masaryk (Earth-616),Secret Identity,Bad,Blue,Black,Male,,43.0,1964-08-01,1964.0,marvel
7755,Vera Cantor (Earth-616),Public Identity,Good,Brown,Brown,Female,,43.0,1966-04-01,1966.0,marvel
7756,Noah Black (Earth-616),Secret Identity,Bad,Brown,Bald,Male,,43.0,1968-07-01,1968.0,marvel
7757,Charles Barton (Earth-616),Public Identity,Neutral,Blue,Red,Male,,43.0,1969-05-01,1969.0,marvel
7758,Howard Stark (Earth-616),No Dual Identity,Good,Blue,Grey,Male,,43.0,1970-08-01,1970.0,marvel
7759,Martine Bancroft (Earth-616),,,Red,Blond,Female,,43.0,1971-11-01,1971.0,marvel
7760,Hildegarde (Earth-616),No Dual Identity,Good,,Blond,Female,,43.0,1972-01-01,1972.0,marvel
7761,Lincoln Slade (Earth-616),Secret Identity,Good,,,Male,,43.0,1972-01-01,1972.0,marvel
7762,Richard Rory (Earth-616),Public Identity,,Brown,Brown,Male,,43.0,1974-02-01,1974.0,marvel
7763,Wilhelm Lohmer (Earth-616),Secret Identity,,Blue,Blond,Male,,43.0,1975-06-01,1975.0,marvel
7764,Jackson Day (Earth-616),Secret Identity,Bad,Red,White,Male,,43.0,1976-12-01,1976.0,marvel
7765,Thursday Rubinstein (Earth-616),Secret Identity,Bad,,No,Female,,43.0,1976-02-01,1976.0,marvel
7766,Slug (Microverse) (Earth-616),Public Identity,Good,,Black,Female,,43.0,1979-04-01,1979.0,marvel
7767,Belasco (Earth-616),Secret Identity,Bad,Black,Brown,Male,,43.0,1982-02-01,1982.0,marvel
7768,Edward Lavell (Earth-616),Public Identity,Bad,Brown,Brown,Male,,43.0,1983-04-01,1983.0,marvel
7769,Frank Simpson (Earth-616),Secret Identity,Bad,Blue,Blond,Male,,43.0,1986-07-01,1986.0,marvel
7770,Silas Burr (Earth-616),Secret Identity,Bad,Blue,Black,Male,,43.0,1991-09-01,1991.0,marvel
7771,Carolyn Trainer (Earth-616),Secret Identity,Bad,,Pink,Female,,43.0,1995-09-01,1995.0,marvel
7772,Carlos LaMuerto (Earth-616),Public Identity,Neutral,Brown,Black,Male,,43.0,1997-01-01,1997.0,marvel
7773,Milla Donovan (Earth-616),Public Identity,Good,White,Black,Female,,43.0,2003-03-01,2003.0,marvel
